instance,n_stops,local_objective,milp_objective,local_share,milp_share,improvement_pct,instance_id,origins,destinations,od_pairs,periods,total_demand
synthetic_12_stops_s400,12,5.513823654976387,5.216400453070251,0.5497060815879616,0.5731956273070962,5.394137000331944,I01,7,9,63,4,3958.8750639801588
synthetic_12_stops_s405,12,5.977480302651245,5.77757941260483,0.5229278292886557,0.5429084786435318,3.3442333546084932,I06,9,10,90,6,7007.053376697089
synthetic_12_stops_s410,12,6.233101150967635,5.918429691171729,0.4647629832197738,0.4943701898034019,5.048393282484368,I11,8,11,88,5,6930.629955342234
synthetic_12_stops_s415,12,5.295650533077137,5.181549239344198,0.5770073471666305,0.5853815666680644,2.154622798846932,I16,7,12,84,4,5187.860059523522
synthetic_12_stops_s420,12,5.298906177658803,4.882715601226302,0.574086825719188,0.606203815842139,7.854273362816648,I21,9,9,81,6,6235.486270558788
synthetic_12_stops_s425,12,5.547888311163633,5.141461542683538,0.5768620520461992,0.6069960593210445,7.325792187673835,I26,8,10,80,5,5549.609052216686
synthetic_12_stops_s430,12,6.2916497806012135,5.860145214520762,0.5148806745217352,0.5462303377444849,6.858369126185181,I31,7,11,77,4,4840.261285947379
synthetic_12_stops_s435,12,5.998355553989368,5.57601226231156,0.5033797211660027,0.5366730903662695,7.040984614473496,I36,9,12,108,6,8403.745661832527
synthetic_12_stops_s440,12,5.88351693336574,5.577602514361847,0.5324811918412997,0.5558898763449681,5.199516249694741,I41,8,9,72,5,5005.014661908659
synthetic_12_stops_s445,12,5.72508490150738,5.316725249900679,0.5205708663637669,0.5536423130469975,7.132813899391822,I46,7,10,70,4,4467.9740141211205
synthetic_16_stops_s401,16,6.134093558080565,5.557547637015065,0.5422458112958682,0.5835408820904407,9.399040226668928,I02,10,12,120,5,7773.470928769942
synthetic_16_stops_s406,16,6.62095218251204,6.002240788008929,0.5330648021816697,0.5744256418935023,9.344749477836698,I07,9,13,117,4,6608.158985334692
synthetic_16_stops_s411,16,6.458632612754011,5.895128087022303,0.5380795562687224,0.5774522066648282,8.724827057339391,I12,11,14,154,6,11125.251122608483
synthetic_16_stops_s416,16,6.262071358570941,5.920168849776971,0.5264373485842481,0.5508335586003203,5.4598948050313325,I17,10,11,110,5,7573.943334594337
synthetic_16_stops_s421,16,6.8844441448750215,6.254324454497349,0.501335106155071,0.5437493487480988,9.152804164251258,I22,9,12,108,4,6186.941709283914
synthetic_16_stops_s426,16,6.154561417086162,5.565833581216685,0.5343393128535378,0.576393872856832,9.565715507120679,I27,11,13,143,6,10542.402549272017
synthetic_16_stops_s431,16,6.414668100327424,6.202992119517148,0.5270946965563199,0.5420939005715107,3.2998742491364683,I32,10,14,140,5,9363.96935127334
synthetic_16_stops_s436,16,6.247476832597858,5.770914642681018,0.5285287524614211,0.5675437716416457,7.628074544114371,I37,9,11,99,4,5714.873145281547
synthetic_16_stops_s441,16,6.058214202751596,5.562527875598659,0.5300976913353286,0.568809935215004,8.182053498996464,I42,11,12,132,6,9497.690839169492
synthetic_16_stops_s446,16,6.083256418275893,5.677510798492857,0.5326651837039994,0.568498627108296,6.6698753411751115,I47,10,13,130,5,8754.08943988026
synthetic_20_stops_s402,20,7.9114897625896,7.112090627086031,0.4564983317977801,0.5068639769879718,10.1042807295741,I03,13,15,195,6,13086.85455718943
synthetic_20_stops_s407,20,6.733167483853302,6.0746588200079294,0.5637451577433922,0.6075912149949675,9.7800725353191,I08,12,16,192,5,10394.360464183084
synthetic_20_stops_s412,20,7.323182606677774,6.452870091995797,0.46967893725528453,0.530085211324051,11.884348123292288,I13,11,13,143,4,7715.522950801484
synthetic_20_stops_s417,20,6.884341775515786,6.077462222899811,0.5249926462668429,0.5750487020038352,11.720503991908826,I18,13,14,182,6,11451.670847226507
synthetic_20_stops_s422,20,6.873116847191959,6.031325622311839,0.5276280239686287,0.5803626731366607,12.247590774250215,I23,12,15,180,5,10536.653548475511
synthetic_20_stops_s427,20,7.230943201996298,6.2624879758911165,0.5017534773795375,0.5620742447582554,13.393207484160753,I28,11,16,176,4,8887.316578383241
synthetic_20_stops_s432,20,7.4177584309799425,6.649672619381546,0.4696449326645415,0.5208422108605644,10.354688936627,I33,13,13,169,6,11896.437057666206
synthetic_20_stops_s437,20,7.636618343618258,6.6831960577529905,0.46834569063537107,0.5297633981819612,12.484875411667256,I38,12,14,168,5,10414.4949338767
synthetic_20_stops_s442,20,7.458834070847683,6.833189583543352,0.5129110053291834,0.553085247079424,8.387966287514253,I43,11,15,165,4,8669.313557725676
synthetic_20_stops_s447,20,7.242593023484352,6.602495021836436,0.4869818989534676,0.5340720234771861,8.837967280121584,I48,13,16,208,6,13918.139451407686
synthetic_24_stops_s403,24,8.819346286553492,7.301969983469235,0.44282663564229585,0.5288379029090806,17.205088152596304,I04,13,18,234,4,11689.978571892627
synthetic_24_stops_s408,24,8.086808785956547,7.166390304550096,0.4750564151278404,0.5289089028149645,11.381726782075503,I09,15,15,225,6,13192.377338820646
synthetic_24_stops_s413,24,8.564177065357235,7.1268801585171495,0.4491791417552438,0.5355780897084392,16.782662197096133,I14,14,16,224,5,13256.226727397327
synthetic_24_stops_s418,24,8.28259363010158,7.03737316037591,0.45128837539429345,0.5270874827349654,15.034185248448534,I19,13,17,221,4,11345.414562175356
synthetic_24_stops_s423,24,8.912311394414484,7.904433284533333,0.4067440210651802,0.4706469406711092,11.308829609710536,I24,15,18,270,6,17835.793738976194
synthetic_24_stops_s428,24,8.220502645542444,7.077652735131455,0.46003310183667145,0.5294868658484286,13.902433460449014,I29,14,15,210,5,11682.069829076958
synthetic_24_stops_s433,24,8.620245083316961,7.208870378735596,0.4425134576759317,0.5261875906438149,16.37279092346045,I34,13,16,208,4,9835.445728156006
synthetic_24_stops_s438,24,8.163053603981346,7.039474249312202,0.40077105739884444,0.47810125544916693,13.764204048851811,I39,15,17,255,6,18102.869627082968
synthetic_24_stops_s443,24,8.434499676423625,7.063529020877034,0.4376355990907568,0.5220674250133507,16.254321040271904,I44,14,18,252,5,14755.387103558885
synthetic_24_stops_s448,24,7.727852672128578,6.944611296426351,0.4796593663795817,0.5306025594666827,10.135304190348766,I49,13,15,195,4,9568.329876228017
synthetic_28_stops_s404,28,8.720966422362428,8.403322333432657,0.43442133210300776,0.4518479128797637,3.6423037716928253,I05,16,17,272,5,14321.3764010355
synthetic_28_stops_s409,28,9.180581075263367,7.710960678186537,0.4418334771947082,0.5240297310650944,16.0079235184432,I10,15,18,270,4,12212.939429075854
synthetic_28_stops_s414,28,8.788120966771821,7.463958813256601,0.4195063661468305,0.4990784193710155,15.067636853451626,I15,17,19,323,6,20196.221747989926
synthetic_28_stops_s419,28,9.183191435077829,7.768359689381722,0.4113236772238115,0.49340931780855657,15.406754347859417,I20,16,20,320,5,18131.253708973167
synthetic_28_stops_s424,28,8.997198873300464,7.654811322152234,0.3955736193893517,0.4742845330824532,14.920060899529705,I25,15,17,255,4,12716.91776348193
synthetic_28_stops_s429,28,8.62698763050245,7.3080518948032305,0.4237922670675427,0.5026240547568498,15.288485299733791,I30,17,18,306,6,17680.296378488478
synthetic_28_stops_s434,28,9.889081586120863,8.477809414377933,0.383665822564576,0.46168719580995937,14.271013536015548,I35,16,19,304,5,16038.517222337367
synthetic_28_stops_s439,28,9.395871880989727,7.972172625405531,0.41921401703033245,0.4986773695165667,15.152391109809688,I40,15,20,300,4,13948.32041573805
synthetic_28_stops_s444,28,8.94462368767206,7.562051883749609,0.41120508221897606,0.4927479469049367,15.457014763270394,I45,17,17,289,6,17810.863339141848
synthetic_28_stops_s449,28,9.131092120349734,7.795052102920469,0.42473550889150874,0.5003840046444789,14.631765837207363,I50,16,18,288,5,15196.295093716508
